Degree,Prior,Posterior,Chi2_B_avg,Chi2_B_std,Chi2_B_var_theory
1,0.10014869172595255,0.0,1111.329404384766,85.57791786369137,606
2,0.09061828364099017,3.1748985321764403e-124,354.6091164392447,28.570335021276172,612
3,0.08199481379656379,0.9400257707675226,303.41649942275023,25.06646550584912,618
4,0.07419197560802206,0.05985593114986488,303.89421344013635,24.89415577670623,624
5,0.06713167564814956,0.00011747853752797599,304.99823266691334,24.795137193399583,630
6,0.06074325206189915,8.174831437702801e-07,305.87443318449436,24.517543466578523,636
7,0.0549627673587963,2.059516450887589e-09,306.9335098154112,24.37820279119692,642
8,0.049732368505044366,2.3759635936791874e-12,308.133178031514,24.86555655271879,648
9,0.044999707910917223,1.4816526151742732e-14,309.0291127617836,25.458296340843972,654
10,0.04071741951848668,3.8703220363749376e-17,310.0816763803226,26.30926539210037,660
11,0.036842644746194475,3.7286600897315966e-19,310.8993189929886,26.255132302417557,666
12,0.03333660354576271,1.6338229207160913e-22,312.27323768169373,26.94785064525798,672
13,0.030164206278436353,5.0440483597971214e-27,314.12465271577605,26.673806517740395,678
14,0.027293702526084426,1.750902257394756e-32,316.3694332989562,29.09511370152511,684
15,0.024696363322343783,4.920586514372657e-39,319.0666971456046,30.841740567994623,690
16,0.02234619362346752,2.0439989305689954e-44,321.27915725450947,35.901947925034115,696
17,0.020219672141189974,8.378082412948531e-48,322.66509055763487,33.79964134574319,702
18,0.01829551593376796,7.430008010684953e-52,324.32656840662645,39.38462433169114,708
19,0.016554467399146358,1.6160752971520348e-52,324.58316315558403,35.39426329941612,714
20,0.01497910153840406,6.01397874360833e-52,324.3286276762519,34.30027549357175,720
21,0.013553651560507998,4.6923010736703514e-52,324.35529709795276,29.90788646520088,726
22,0.01226385108296911,1.9258901409475698e-52,324.4975933663518,29.7929058123573,732
23,0.011096791349091275,7.339641091259037e-54,325.0677016988625,29.617380463307587,738
24,0.010040792032795521,4.912383220400128e-59,327.1943038155408,30.362586871548167,744
25,0.009085284337990737,1.867989220618604e-62,328.593741160191,32.29193036875727,750
26,0.00822070522251008,7.458612553852394e-64,329.1554605619402,34.31453057554526,756
27,0.007438401687970748,8.475191590432496e-66,329.94339190289116,36.83063820237991,762
28,0.0067305441776577745,2.8565684900355533e-96,342.5551053981339,115.96226639574134,768
29,0.006090048215688821,2.9390218384021303e-105,346.26217121519505,117.24079442211494,774
30,0.005510503503198377,4.53069425476886e-105,346.16626750915106,110.06330968943821,780
